word,usage,in_sentences,tier,why,act,jit,frames,recording,source,alias_of
報名_B,33,,severe,severe 抓不到手,0.2348,0.01775,115,1931_報名_B.json,twtsl:1931,
困難,33,,poor,poor 偵測率低,0.3793,0.00937,29,moc_G2D1P2.json,moc:G2D1P2,
名字_N,32,,poor,poor 偵測率低,0.4206,0.01594,107,1388_名字_N.json,twtsl:1388,
名字_S,32,,poor,poor 偵測率低,0.4138,0.01908,87,1389_名字_S.json,twtsl:1389,
怎麼辦_A,32,,severe,severe 抓不到手,0.0965,0.01473,114,2439_怎麼辦_A.json,twtsl:2439,
怎麼辦_B,32,,poor,poor 偵測率低,0.3205,0.01653,78,2440_怎麼辦_B.json,twtsl:2440,
痛,32,,severe,severe 抓不到手,0.2174,0.02715,23,moc_G2D2P3.json,moc:G2D2P3,
臺南_B,31,,severe,severe 抓不到手,0.056,0.01865,125,2144_台南_B.json,twtsl:2144,台南_B
臺南_A,31,,poor,poor 偵測率低,0.368,0.01707,125,2143_台南_A.json,twtsl:2143,台南_A
謝謝,31,S04,ok,,0.8662,0.01728,103,desk0912_謝謝.json,desk0912:混合來源-2026-09-12,
謝謝_A,31,,poor,poor 偵測率低,0.3786,0.01728,103,2196_感謝_A.json,twtsl:2196,
謝謝_B,31,,severe,severe 抓不到手,0.0,0.02976,85,2197_感謝_B.json,twtsl:2197,
幫助_N,30,,severe,severe 抓不到手,0.1809,0.01887,94,0987_幫_N.json,twtsl:987,
幫助_S,30,,severe,severe 抓不到手,0.0316,0.02373,95,0988_幫_S.json,twtsl:988,
老_A,30,,severe,severe 抓不到手,0.2468,0.01649,77,1510_年老.json,twtsl:1510,
老_B,30,,poor,poor 偵測率低,0.375,0.0148,88,2538_老_B.json,twtsl:2538,
新聞,30,,poor,poor 偵測率低,0.3388,0.02451,121,moe_04_0630.json,moe:vocabulary/04/0630,
簡單_C,29,,severe,severe 抓不到手,0.1954,0.02272,87,0641_容易_C.json,twtsl:641,
簡單_A,29,,severe,severe 抓不到手,0.0,0.02035,122,0646_容易_A.json,twtsl:646,
簡單_B,29,,poor,poor 偵測率低,0.301,0.01691,103,0647_容易_B.json,twtsl:647,
從來沒有_A,29,,severe,severe 抓不到手,0.2762,0.01769,105,1406_不曾.json,twtsl:1406,
餐廳_A,29,,severe,severe 抓不到手,0.1983,0.02355,121,1784_餐廳_A.json,twtsl:1784,
餐廳_B,29,,poor,poor 偵測率低,0.5227,0.02405,88,1785_餐廳_B.json,twtsl:1785,
筆談_A,28,,severe,severe 抓不到手,0.0,0.01845,103,0465_筆談_A.json,twtsl:465,
筆談_B,28,,poor,poor 偵測率低,0.3625,0.01787,80,2487_筆談_B.json,twtsl:2487,
展覽_A,27,,severe,severe 抓不到手,0.0,0.01538,116,0576_展示_A.json,twtsl:576,
展覽_B,27,,severe,severe 抓不到手,0.0291,0.03408,103,0577_展示_B.json,twtsl:577,
下雨,27,,poor,poor 偵測率低,0.4318,0.02235,132,1733_下雨.json,twtsl:1733,
不好_A,26,,severe,severe 抓不到手,0.2386,0.02637,88,1239_不好_A.json,twtsl:1239,
不好_B,26,,poor,poor 偵測率低,0.3093,0.02061,97,1465_差勁.json,twtsl:1465,
慢_N,26,,severe,severe 抓不到手,0.2336,0.01901,107,1965_慢_N.json,twtsl:1965,
慢_S,26,,poor,poor 偵測率低,0.5833,0.01735,72,1966_慢_S.json,twtsl:1966,
哥哥,26,,severe,severe 抓不到手,0.1714,0.03929,35,moc_G2D9P1.json,moc:G2D9P1,
臉,26,,poor,poor 偵測率低,0.4286,0.03347,14,moc_G3D12P3.json,moc:G3D12P3,
