word,usage,main_tier,main_act,main_frames,main_recording,main_source,variants
深刻,11,ok,0.8378,37,moc_I3P2_L.json,moc:I3P2,
主,11,ok,1.0,274,twtsl2_主.json,twtsl:rescan-2026-09,
兄弟,11,ok,0.9965,282,twtsl2_兄弟.json,twtsl:rescan-2026-09,
國家,11,ok,0.971,241,twtsl2_國家.json,twtsl:rescan-2026-09,
字典,11,ok,1.0,310,twtsl2_字典.json,twtsl:rescan-2026-09,
幸福,11,ok,0.9,130,twtsl2_幸福.json,twtsl:rescan-2026-09,
拖地,11,ok,0.7724,312,twtsl2_拖地.json,twtsl:rescan-2026-09,
歐洲,11,ok,0.8077,52,twtsl2_歐洲.json,twtsl:rescan-2026-09,
繪畫,11,ok,0.9623,265,twtsl2_繪畫.json,twtsl:rescan-2026-09,
碩士,11,ok,0.88,200,twtsl2_碩士.json,twtsl:rescan-2026-09,
風,11,ok,0.8309,207,twtsl2_風.json,twtsl:rescan-2026-09,
地址,10,ok,0.9574,47,moc_G4D13P3.json,moc:G4D13P3,地址_A:severe:0.0 地址_B:poor:0.3385 地址_C:poor:0.3167 地址_D:poor:0.4667
自行車,10,ok,0.8413,63,twtsl2_自行車.json,twtsl:rescan-2026-09,自行車_A:severe:0.0417 自行車_B:severe:0.05
不夠,10,ok,0.8953,86,moc_G2D7P4.json,moc:G2D7P4,不夠_B:severe:0.1667 不夠_A:severe:0.0078 不夠_C:severe:0.25
一小時,10,ok,0.9412,17,moc_G3D12P1.json,moc:G3D12P1,一小時_A:severe:0.0 一小時_B:severe:0.0261 一小時_C:severe:0.1643
罵,10,ok,1.0,34,moc_G3D2P2.json,moc:G3D2P2,罵_A:severe:0.0593 罵_B:severe:0.068
鹽,10,ok,0.8125,16,moc_G4D5P2.json,moc:G4D5P2,鹽_N:poor:0.5876 鹽_S:severe:0.1062
聰明,10,ok,1.0,47,moc_G2D3P1.json,moc:G2D3P1,聰明_A:poor:0.4286 聰明_B:severe:0.2235
高,10,ok,0.8889,9,moc_G2D4P1.json,moc:G2D4P1,高_A:poor:0.4603 高_B:poor:0.4943
輪流,10,ok,0.8519,27,moc_G4D12P2.json,moc:G4D12P2,輪流_B:poor:0.405 輪流_C:poor:0.582 輪流_A:poor:0.3451
在家,10,ok,1.0,67,moc_G1C10_R.json,moc:G1C10,
午睡,10,ok,1.0,70,moc_G1C26_L.json,moc:G1C26,
VRS,10,ok,1.0,93,moc_G1D14P2.json,moc:G1D14P2,
妻子,10,ok,0.76,25,moc_G1D15P1.json,moc:G1D15P1,
穿上,10,ok,0.8689,61,moc_G1D11P1.json,moc:G1D11P1,
違法,10,ok,0.7097,31,moc_G1D11P2.json,moc:G1D11P2,
漢堡,10,ok,0.8,30,moc_G1D2.json,moc:G1D2,
瀏覽,10,ok,1.0,15,moc_G1D3P1.json,moc:G1D3P1,
不可以,10,ok,0.9375,64,moc_G1D4P2.json,moc:G1D4P2,
愛,10,ok,1.0,28,moc_G1D4P2.json,moc:G1D4P2,
日期,10,ok,1.0,51,moc_G1D4P3.json,moc:G1D4P3,
到處,10,ok,0.9744,39,moc_G1C6_L.json,moc:corpus-gapfill,
石頭,10,ok,0.9545,22,moc_G2D11P2.json,moc:G2D11P2,
